Golpes,Trabajo Maximo,Impulso Maximo,Potencia Maxima,Fuerza Maxima,Energia Total,Momentum
Golpe 1,8.241,1.982,242.392,60.060,21.591,5.268
Golpe 2,115.343,6.938,3495.233,204.050,103.913,11.802
